AUTHORS,TITLE,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,YEAR,ABSTRACT
"FITZGIBBON, CD",ANTIPREDATOR STRATEGIES OF IMMATURE THOMSON GAZELLES - HIDING AND THE PRONE RESPONSE,ANIMAL BEHAVIOUR,40,846,855,10.1016/S0003-3472(05)80985-6,1990,
"Backs, Jonathan A. J.; Nychka, John A.; St Clair, Colleen Cassady",Warning systems triggered by trains increase flight-initiation times of wildlife,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,87,,,10.1016/j.trd.2020.102502,2020,"Trains on railways collide with and kill wildlife, incurring economic costs for railway operators and impacting species of conservation concern. We proposed to address this problem with train-triggered warning signals, consisting of flashing lights and bell sounds emitted in the 30 s leading up to train arrival, that animals could learn to associate with train arrival. We installed our warning systems at four sites on an active railway where train-triggered cameras recorded the responses of animals to trains. We contrasted the observed flight initiation times when warning signals were active (treatment) and inactive (control) and when trains approached from straight versus curved track, predicting that animals would be more responsive to warning signals on curved approaches because those trains would be harder for animals to detect. When warning signals were provided, animals left the track earlier. For animals larger than and including coyotes (Canis latrans), flight responses were 62% earlier (17.0 s, SE = 1.5 vs. 10.5 s, SE = 1.2); smaller animals initiated flight responses 29% earlier (14.6 s, SE = 1.9 vs. 11.3 s, SE = 1.6). Contrary to our prediction, animals were more responsive to warning signals when trains approached from straightaways (large animals 10.3 s earlier for treatment, SE = 2.6; small animals 4.2 s earlier for treatment, SE = 2.4) than when trains approached from curves (large animals 2.7 s earlier for treatment, SE = 2.8; small animals 2.4 s earlier for treatment, SE = 1.6). Non-aversive warning systems could reduce train collisions by providing additional time for animals to adopt an effective escape trajectory."
"Akbari, H.; Moradi, H. Varasteh; Rezaie, H. -R.; Baghestani, N.",Seasonal changes in group size and composition of Chinkara (Gazella bennettii shikarii) (Mammalia: Bovidae) in central Iran,ITALIAN JOURNAL OF ZOOLOGY,82,609,615,10.1080/11250003.2015.1072250,2015,"The social structure and seasonal changes in group size of Chinkara (Gazella bennettii shikarii Groves, 1993) were studied in central Iran during a year. A total of 397 groups were observed between September 2013 and September 2014 in Dare Anjir Wildlife Refuge, Siakooh National Park and Booruie Wildlife Refuge. We assessed the seasonal group-size variation in these regions and found that the largest groups formed in autumn and winter. Chinkara groups never exceeded eight individuals in the studied areas. Solitary Chinkaras were observed very often in the study areas. The mean group size of Chinkara had significant difference between seasons in two protected areas. As a result, Chinkara group size in central Iran is one of the smallest ever documented in the world. Such small group sizes are likely due to the arid environment and poor-quality vegetation of the studied regions. The sex ratio was skewed significantly towards females in Dare Anjir Wildlife Refuge and Booruie Wildlife Refuge."
"Adams, Jessica L.; Camelio, Kari W.; Orique, Matthew J.; Blumstein, Daniel T.",Does information of predators influence general wariness?,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,60,742,747,10.1007/s00265-006-0218-9,2006,"Antipredator behavior includes several qualitatively distinct activities, but few studies have determined the degree to which these activities are independent. If behaviors are not independent, then the nature of the relationship would illustrate potential performance constraints. We studied crimson rosellas (Platycercus elegans) and first focused on acoustic predator discrimination. We measured time allocation before and after playback of one of three experimental treatments (peregrine falcons-Falco peregrinus, wedge-tailed eagles-Aquila audax, and crimson rosellas) to determine whether or not rosellas discriminated predators from non-predators, and specifically whether or not they discriminated large from small predators. We then focused on the decision to flee. We experimentally approached subjects and measured the distance at which they oriented to us (alert distance) and the distance at which they fled (flight initiation distance; FID). We found that rosellas could distinguish among predators; however, there was no effect on general wariness as measured by FID. These two processes of antipredator behavior may, thus, be independent."
"Murray, Kris; Bull, C. Michael","Aggressiveness during monogamous pairing in the sleepy lizard, Tiliqua rugosa: a test of the mate guarding hypothesis.",Acta Ethologica,7,19,27,,2004,"The Australian sleepy lizard, Tiliqua rugosa, maintains monogamous associations for an average of 6 weeks before mating each spring. One hypothesis to explain this prolonged partnership is that males are guarding their female partners from rival males. This hypothesis has three predictions, that males are more aggressive than females to conspecific males, that male aggression will increase as the time of mating gets closer, and that males will be more aggressive towards conspecific males when they are with their partner than when they are alone. We tested those predictions with indirect evidence of aggression, using counts of scale damage on randomly encountered lizards, and with direct observations of their responses to approaches by conspecific and heterospecific models. As predicted by the mate guarding hypothesis, males showed more evidence of aggression towards conspecifics than did females. However, in contrast to the hypothesis, males did not become more aggressive as the time of mating came closer, and males in pairs were less aggressive than males on their own. Mate guarding cannot be the only process that has led to the prolonged monogamous associations in this species. Parental care is also unknown in these lizards, and we suggest that monogamy may be maintained through some form of female coercion, allowing females to gain additional fitness from the enhanced vigilance that results from male proximity."
"Stemmler, G",Selective activation of traits: Boundary conditions for the activation of anger,PERSONALITY AND INDIVIDUAL DIFFERENCES,22,213,233,10.1016/S0191-8869(96)00189-4,1997,"Situation- and person-based boundary conditions for the selective activation of traits were investigated during an anger induction. Sixty-one female subjects were studied under rest, handgrip, and vigilance tasks and then under one of three appraisal instructions (Full, Excuse, and Ignore provocation) intended to modify the intensity of an ensuing anger provocation. Dependent variables included emotional self-reports, video ratings of facial expressions, heart rate, and systolic and diastolic blood pressure. Emotional self-reports indicated more anger in the Full than in the other provocation groups, but no group differences existed in fear, exhaustion, positive affect or interest. Ratings of facial expressions and results of the post-experimental interview corroborated and extended these findings. Diastolic blood pressure responses were largest in the Full provocation group. Moderator analyses showed that person-based boundary conditions were restricted since aggressivity, but neither neuroticism, achievement motivation, extraversion, nor social desirability influenced the anger induction x self-reported anger relationship: The regression function slope of aggressivity on self-reported anger was significantly larger for the Full compared to the combined Excuse and Ignore provocation groups. Johnson-Neyman confidence intervals for self-reported anger showed that across provocation groups aggressivity was selectively engaged only for above-average aggressivity scores. Unexpectedly, aggressivity was also a strong moderator for provocation group x self-reported fear relationships. Selective trait activation as an instance of person x environment interaction was explained with perceived situational demands and mutually inhibitory anger x fear relation ships. Propositions regarding the concept of traits-as-dispositions are advanced. (C) 1997 Elsevier Science Ltd."
"Goncalves, Joel; Bengler, Klaus",Driver State Monitoring Systems- Transferable knowledge manual driving to HAD,"6TH INTERNATIONAL CONFERENCE ON APPLIED HUMAN FACTORS AND ERGONOMICS (AHFE 2015) AND THE AFFILIATED CONFERENCES, AHFE 2015",3,3011,3016,10.1016/j.promfg.2015.07.845,2015,"Highly Automated Driving (HAD) will be commercially available in a near feature, yet human factors issues like the influence of driver state can have a critical impact in the success of this driving paradigm and also in road safety. It is very likely that Driver State Monitoring Systems (DSMS) will play a bigger role than they have played so far. However with this new driving paradigm shift is important to select highlight what is transferable from the previous systems. Due to lack of driving task engagement, driving performance metrics are no longer viable, creating opportunities for other approaches like detecting non-driving task engagement or fatigue countering behaviours. Eye based metrics will remain important. (C) 2015 The Authors. Published by Elsevier B.V."
"Ming, Yurui; Pelusi, Danilo; Fang, Chieh-Ning; Prasad, Mukesh; Wang, Yu-Kai; Wu, Dongrui; Lin, Chin-Teng",EEG data analysis with stacked differentiable neural computers,NEURAL COMPUTING & APPLICATIONS,32,7611,7621,10.1007/s00521-018-3879-1,2020,"Differentiable neural computer (DNC) has demonstrated remarkable capabilities in solving complex problems. In this paper, we propose to stack an enhanced version of differentiable neural computer together to extend its learning capabilities. Firstly, we give an intuitive interpretation of DNC to explain the architectural essence and demonstrate the stacking feasibility by contrasting it with the conventional recurrent neural network. Secondly, the architecture of stacked DNCs is proposed and modified for electroencephalogram (EEG) data analysis. We substitute the original Long Short-Term Memory network controller by a recurrent convolutional network controller and adjust the memory accessing structures for processing EEG topographic data. Thirdly, the practicability of our proposed model is verified by an open-sourced EEG dataset with the highest average accuracy achieved; then after fine-tuning the parameters, we show the minimal mean error obtained on a proprietary EEG dataset. Finally, by analyzing the behavioral characteristics of the trained stacked DNCs model, we highlight the suitableness and potential of utilizing stacked DNCs in EEG signal processing."
"Lancaster, A.; Corti, P.; Fernandez, T.; Moraga, C. A.; Radic-Schilling, S.; Hardenberg, A.",Changes in foraging behaviour suggest competition between wild and domestic ungulates: Guanaco and domestic sheep in southern Patagonia,JOURNAL OF ZOOLOGY,,,,10.1111/jzo.12971,2022,"Previous attempts to address the presence of interspecific competition between domestic livestock and wild ungulates have focused largely on habitat or dietary overlaps. Although overlaps in habitat or diet create opportunities for competition to occur between species, competition only results from such overlap if it affects one or both species negatively. Less attention has been afforded to possible behavioural modifications induced in wildlife by competition with domestic livestock. Here, we investigated the effects of the presence of livestock on feeding behaviour of guanaco (Lama guanicoe) in southern Patagonia, using focal sampling of individuals during foraging bouts, with instantaneous scan samples to estimate group behavioural budgets. We recorded guanaco bite and step rates, used as proxies of foraging intake and selectivity, from four different study sites over eight consecutive seasons. We also estimated sheep and guanaco densities per site, along with vegetation biomass availability. As in other ungulates, bite rates of guanaco appear to be highly flexible and generally increased with vegetation biomass availability. However, as sheep densities and thus additional grazing pressure increased, guanaco foraging strategy compensated by increasing bite rates when foraging vegetation was scarce, indicating further likelihood of competition. Additionally, scan samples indicated that the probability of guanaco feeding occurring at any one time was higher in areas shared with domestic sheep compared to national parks, suggesting guanaco have to focus more on feeding than other behaviours when sheep are present."
"Ebensperger, LA; Bozinovic, F","Communal burrowing in the hystricognath rodent, Octodon degus: a benefit of sociality?",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,47,365,369,10.1007/s002650050678,2000,"We examined the hypothesis that a main benefit of group-living in the semifossorial rodent, Octodon degus (Rodentia: Octodontidae), is to decrease individual cost of burrow construction. We contrasted the digging behavior of groups of three same-sex, adult-sized individuals with that of solitary degus. The behavior of singles and trios was recorded inside a large terrarium partially filled with natural soil and under controlled conditions of food, light, and temperature. The observation that degus in groups do not decrease their burrowing time or frequency of digging compared with solitary diggers does not support the hypothesis that communal burrowing is a primary cause of degu sociality. On the other hand, the observation that degus in groups removed significantly more soil per capita than solitary digging degus, and that grouped individuals coordinated their digging - group members burrowed mostly in the same sites and formed digging chains -, suggests that social burrowing may potentially reduce the cost of burrow construction in the long term. We suggest that such longterm benefits will be a consequence rather than a cause of degu group-living."
"McAuliffe, K.; Thornton, A.",The psychology of cooperation in animals: an ecological approach,JOURNAL OF ZOOLOGY,295,23,35,10.1111/jzo.12204,2015,"There has been a recent push to study the psychological processes supporting cooperation in nonhuman animals. However, progress has been limited thus far due to differences in approaches between psychologists and behavioral ecologists. Although the former tend to use controlled experiments to pinpoint precise cognitive mechanisms, these experiments often lack ecological validity. In contrast, behavioral ecologists seek to understand the adaptive function of cooperative behavior of animals in the wild but typically neglect the underlying psychological mechanisms. Here we appraise and integrate evidence from these two approaches to understand the potential cognitive solutions to four fundamental challenges that animals face during cooperative interactions under natural conditions: (1) when to cooperate; (2) with whom to cooperate; (3) what to do in cooperative interactions; (4) how much to contribute to cooperation. We argue that an ecologically motivated approach is critical to understanding the psychological mechanisms of cooperation and how these mechanisms evolve."
"King, Roy; Gosnell, Robert; Mathis, Alicia","Discrimination of predatory versus nonpredatory mammals by box turtles, Terrapene carolina",CHEMOECOLOGY,18,61,64,10.1007/s00049-007-0393-9,2008,"Although terrestrial turtles have served as a model for studies of olfactory neurophysiology, little is known about how they use chemical information in an ecological sense. We tested whether box turtles (Terrapene carolina) use chemical information to distinguish between predatory and nonpredatory mammals. Box turtles in our study exhibited more escape behavior when exposed to urine from a predator (coyote, Canis latrans) than when exposed to urine from a nonpredator (white-tailed deer, Odocoileus virginianus) or a blank control. Escape behavior is consistent with an antipredator response. In addition, the turtles decreased their handling time for food when in the presence of urine from either species of mammal in comparison to the blank, indicating that chemical cues from mammals in general may result in increased vigilance by terrestrial turtles. Examination of a variety of response variables may be important for adequate assessment of the ecological role of chemosensory behavior."
"Perrin, MR",The social organisation of the greater kudu Tragelaphus strepsiceros (Pallas 1766),TROPICAL ZOOLOGY,12,169,208,10.1080/03946975.1999.10539388,1999,"The social organisation of the greater kudu Tragelaphus strepsiceros (Pallas 1766) was studied for 2 years in the Valley Bushveld of the Eastern Cape Province, South Africa. Associations between individuals were influenced by reproductive behaviour but unaffected by environmental conditions. Kudu social organisation is based on the cow social unit, a closed matriarchal kinship group consisting of several cows and their offspring. Bulls left stable maternal groups when 2-years-old and formed loose temporary associations with peers. Dominance hierarchies were established within these bachelor groups. Adult bulls showed a tendency to become increasingly solitary with age, and formed transient associations with cows. Adult bulls exhibited little overt competition for mates during the rut. The kudu social system is based on absolute dominance: territoriality is not evident."
"Mo, Claudette L.; Moermond, Timothy C.; Santana-C., Eduardo; Huff, John J.",Predator risk assessment by mallards offered different food choices,Bird Behaviour,10,15,20,,1994,"Risk of predation is presumed to have a strong influence on the selection of feeding sites and items by birds. We conducted an experiment to test how the selections of particular feeding sites and items are influenced by food quality, food quantity, and predation risks. Free-ranging wild Mallards (Anas platyrhynchos) were presented with food items that differed in: preference by the birds, level of abundance, and context of risk of predation. An increase in predation risk resulted in a marked decrease in the number of attempts by the ducks to get food, as well as in the speed at which they approached the feeding site. Slower approach times with higher predation risk were due to increased vigilance. An increase in food abundance compensated for the risks incurred; at a given level of predation risk ducks approached sites with abundant food significantly more often than sites with little food. However, food abundance did not affect approach speed. Approach attempts and times were not influenced by the quality of the items, but this result seemed to be an artifact of the experimental design."
"JOHNSON, RL; MALIK, I; BERMAN, CM",AGE-RELATED AND DOMINANCE-RELATED VARIATION IN FEEDING TIME AMONG FREE-RANGING FEMALE RHESUS-MONKEYS,INTERNATIONAL JOURNAL OF PRIMATOLOGY,12,337,356,10.1007/BF02547616,1991,"Observations were made on the feeding behavior of 34 lactating rhesus females (Macaca mulatta) at Tughlaqabad, India. Consistent interindividual differences in feeding times were found and two sources of this variation were identified. Time spent feeding was found to decline with female age; rhesus mothers 4-6 years old spent over 40% more time feeding than did females 11-15 years of age. When the animals were divided into high- and low-status groups, dominance was also found to relate to individual feeding times; high-status females spent more time feeding that did low-status females, but this difference was evident only when the effect of female age was held constant. The age effect is probably an expression of age-related variation in nutritional requirements due to growth in the youngest subjects and, perhaps, a declining basal metabolic rate in the oldest. We speculate that the comparatively weak dominance effect is due less to the aggressive interruption of feeding bouts than it is to a presumed greater vigilance on the part of subordinant mothers in monitoring their infants' whereabouts."
"Wilson, Alexander D. M.; Godin, Jean-Guy J.","Boldness and intermittent locomotion in the bluegill sunfish, Lepomis macrochirus",BEHAVIORAL ECOLOGY,21,57,62,10.1093/beheco/arp157,2010,"Intermittent locomotion, characterized by moves interspersed with pauses, is a common pattern of locomotion in animals, but its ecological and evolutionary significance relative to continuous locomotion remains poorly understood. Although many studies have examined individual differences in both intermittent locomotion and boldness separately, to our knowledge, no study to date has investigated the relationship between these 2 traits. Characterizing and understanding this relationship is important, as both locomotion and boldness are associated with several ecologically relevant behaviors such as foraging, mating, predator evasion, exploration, and dispersal. Here, we report on individual differences in boldness (risk-taking behavior) and intermittent locomotion in a novel laboratory environment in field-caught juvenile bluegill sunfish (Lepomis macrochirus). Our results show that juvenile bluegill sunfish exhibited individual-level variation in 2 modes of intermittent locomotion (undulatory and labriform swimming) and that this variation was correlated with differences in their boldness behavior. Generally, bolder individuals spent more time moving fast for longer durations and with shorter pauses than more timid individuals. Neither boldness nor locomotion was correlated with body size or body condition. This study provides the first empirical evidence for a link between an animal personality trait and intermittent locomotion."
"Meng, Xiu-xiang; Perkins, Genevieve; Yang, Qi-sen; Feng, Zuo-jian; Xu, Hong-fa; Feng, Jin-chao; Zhao, Chang-jie; Hui, Cen-yi",Relationship between behavioral frequency and reproductive potential of female Alpine musk deer in captivity.,Agricultural Sciences in China,7,1497,1502,,2008,"Between June 2005 and February 2006, focal sampling and all occurrence behavior recording were used to quantify the behavioral patterns of captive female alpine musk deer (Moschus sifanicus) at Xinglongshan Musk Deer Farm, Gansu Province, China. Copulation success was used to differentiate individuals into two groups (successful and unsuccessful) and to provide a basis for behavioral comparisons, throughout both mating (rut) and non mating seasons. The results indicated significant differences between the behavior patterns of successful and unsuccessful females; however, the reproductive season played an important environmental factor. Pooling results across reproductive seasons, successfully copulating females showed significantly higher frequencies of vigilance and lower frequency of feeding behavior as compared with unsuccessfully copulating females. In the non-mating season, unsuccessfully copulating females had higher frequency of self-directed behavior, environment sniffing, and were less aggressive than successful copulating females. Furthermore, females who were successful at copulating also demonstrated tail-pasting behavior; however, this only occurred during the rut season. The results of this study can improve management practices for musk deer farms through increasing mating success and reducing maintenance costs. Furthermore, variation in behavior may also be used as a predictor of copulation success and reproductive potential, whereby females can be grouped and separated according to their reproductive history and past reproduction success."
"Warkentin, KJ; Keeley, ATH; Hare, JF",Repetitive calls of juvenile Richardson's ground squirrels (Spermophilus richardsonii) communicate response urgency,CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,79,569,573,10.1139/cjz-79-4-569,2001,"Richardson's ground squirrels, Spermophilus richardsonii, produce both repetitive and non-repetitive antipredator calls. While many hypotheses have been advanced to explain non-repetitive calls, the function of repetitive calling has received relatively little attention. We presented juvenile Richardson's ground squirrels with a predator model at distances ranging from 1 to 8 m and recorded the subsequent repetitive calls on digital audiotape. The rate of calling was inversely correlated with the distance between the model and the caller, with distance explaining almost 24% of the variation in call rate. To determine whether call recipients use that information, we manipulated the intersyllable latency of a single repetitive call exemplar to form 3 test stimuli varying only in call rate. Across 16 Richardson's ground squirrel colonies to which these calls were broadcast, the proportion of squirrels assuming the highly vigilant, alert posture increased with the rate of the repetitive call presented. Hence, juvenile Richardson's ground squirrels appear to communicate the proximity and presumably the degree of threat posed by potential predators."
"Schooley, RL; Sharpe, PB; VanHorne, B",Can shrub cover increase predation risk for a desert rodent?,CANADIAN JOURNAL OF ZOOLOGY-REVUE CANADIENNE DE ZOOLOGIE,74,157,163,10.1139/z96-020,1996,"Previous research indicates that predation risk may influence activity patterns, habitat partitioning, and community structure of nocturnal desert rodents. Shrub microhabitat is typically considered safer than open microhabitat for these small mammals. We investigated predation risk for Townsend's ground squirrels (Spermophilus townsendii), which are diurnal desert rodents that detect predators visually and use burrows for refuge. Our results suggested that shrub cover may increase risk for these squirrels by decreasing their ability to escape from predators. Our field experiment indicated that running speeds of juvenile squirrels were lower in shrub (Ceratoides lanata) habitat than in open areas. Shrub cover was also associated with shorter predator-detection distances (mammalian and avian) and fewer refuges (burrow entrances per hectare) than in open areas in one year but not in another. Our study demonstrated that the visual and locomotive obstruction of vegetative cover may increase predation risk for diurnal desert rodents and that elements of habitat-dependent risk may be temporally dynamic."
"BUSTAMANTE, J; HIRALDO, F",THE FUNCTION OF AGGRESSIVE CHASES BY BREEDING BLACK AND RED KITES MILVUS-MIGRANS AND M-MILVUS DURING THE POSTFLEDGING DEPENDENCE PERIOD,IBIS,135,139,147,10.1111/j.1474-919X.1993.tb02825.x,1993,"Black and Red Kites Milvus migrans and M. milvus chase other raptors approaching their nests. The study of this behaviour during the post-fledging period suggested that it reflects mainly, but not only, anti-predator behaviour. The frequency of vigilance and aggressive chases decreased through the post-fledging period as predicted by theoretical models of nest defence. Although predation risks were similar, Black Kites invested more time chasing intruders than did Red Kites. Black Kites, unlike Red Kites, chased away intruding juveniles, which may be interpreted as a behaviour to avoid investment in unrelated fledglings. Black Kites usually nest in loose colonies where the risk of, and selection pressures against, accidental investment in unrelated fledglings is likely to be greater than for Red Kites. Differences in aggressive chases by Black and Red Kites are better related to this than to different predation risks."
"Lansade, Lea; Bouissou, Marie-France; Erhard, Hans W.",Reactivity to isolation and association with conspecifics: A temperament trait stable across time and situations,APPLIED ANIMAL BEHAVIOUR SCIENCE,109,355,373,10.1016/j.applanim.2007.03.003,2008,"A temperament trait is generally defined as individual differences in behaviour that are present early in life and relatively stable across situations and over time. The aim of this study was to test the existence of a trait gregariousness in horses, by testing the stability across situations and over time of the responses to different social events. Sixty-six Welsh ponies and 44 Anglo-Arab horses were successively tested at 8 months and 1.5 years of age. Among them, 33 ponies and 21 horses were also tested at 2.5 years of age. They were submitted to four test situations: isolation and separation from, attraction towards and passing conspecifics. We carried out the analysis using each of four test groups as a unit (e.g. 33 Welsh ponies born in 2001, tested in isolation).Isolation and separation stood out as tests that showed a high consistency within test, across tests and across time. The most interesting behavioural parameter was the frequency of neighing, which was well correlated with other parameters measured in the same tests, such as defecation, locomotion and vigilance, as well as across the 3 years (e.g. for separation test: 0.41 < R < 0.61). Therefore, the behaviour of neighing observed in separation or isolation tests as early as 8 months of age appears to be a good indicator of similar behaviour in similar situations later in life, but also of other behaviours which can render the horse difficult to use.No parameter recorded during the attraction test presented stability across situations and time: the reactions to this test were not the expression of a stable characteristic of the individual and did not reflect the same characteristic as the three other tests.Of the different parameters recorded during the passing conspecifics test, the time to cross the arrival line near conspecifics showed good stability across years (0.35 < R < 0.68). This parameter was also correlated with many others recorded during the same test, and also, to a certain extent, to the frequency of neighing in the isolation and separation tests.This stability across responses expressed in various social contexts, and this stability over time, from 8 months to 2.5 years of age suggest the existence of a trait of gregariousness in the horse. From a practical point of view, that means it is possible to estimate the level of gregariousness of a horse as early as 8 months of age. Furthermore, additional analysis shows that gregariousness decreases with age. (c) 2007 Elsevier B.V. All rights reserved."
"Dancer, Alice M. M.; Burn, Charlotte C.",Visitor effects on zoo-housed Sulawesi crested macaque (Macaca nigra) behaviour: Can signs with 'watching eyes' requesting quietness help?,APPLIED ANIMAL BEHAVIOUR SCIENCE,211,88,94,10.1016/j.applanim.2018.12.005,2019,"Visiting public can cause changes in the behaviour of zoo-housed primates. These effects, if indicative of stress, can be of welfare concern. However, few options to mitigate visitor effects through modulating visitor behaviour have been explored. Here we evaluated the effects of visitor number and visitor noise level on the behaviour of five UK groups of Sulawesi crested macaques. We also investigated whether visitor behaviour can be effectively modulated through targeted signage requesting visitors to be quiet, and assessed the use of signs incorporating salient 'watching' human eyes, novel to a zoo setting, alongside 'control' signs lacking eyes.We used scan sampling to collect over 100 h of behavioural observation data, analysis of which indicated that Sulawesi crested macaques were significantly affected by both visitor number and noise level at all five zoos. We found that active behaviours, such as locomotion or foraging, and behaviours identified as negative for welfare, such as vigilance, increased with increasing visitor number and noise levels, whereas resting and social huddling decreased. The extent to which these behavioural changes reflect welfare, particularly the increase seen in active behaviours, is not clear. We also found that both sign treatments, with and without salient eyes, slightly but significantly reduced visitor noise levels compared with no sign, although signs displaying human eyes were not more effective than the control signs.Our results highlight a need for further research into active behaviours to assess whether increases in these behaviours are associated with stress. While we found signage to be a promising tool to mitigate against these visitor effects, our results also suggest areas in which signs incorporating salient human eyes could be adapted for the zoo environment in order to realise their full potential."
"Cassill, Deby L.; Brown, Skye; Swick, Devon; Yanev, George","Polyphasic Wake/Sleep Episodes in the Fire Ant, Solenopsis Invicta",JOURNAL OF INSECT BEHAVIOR,22,313,323,10.1007/s10905-009-9173-4,2009,"Sleep is a well-studied biological process in vertebrates, particularly birds and mammals. Less is know about sleep in solitary and social invertebrates, particularly the ants. This paper reports a study of light/dark periods on worker activity as well as sleep location, posture and the wake/sleep cycles of fire ant workers and queens located in an artificial nest chamber. Workers slept in one of three locations: on the ceiling, against the chamber wall or in the center of the chamber floor. Workers on the ceiling or against the chamber wall slept for longer periods than those at the center of the chamber floor where most grooming and feeding activity occurred. When sleeping, queens huddled together. Their close contact generated synchronized wake/sleep cycles with each other. Sleep posture was distinctly different than wake posture. During deep sleep, queens and workers folded their antennae and were non-responsive to contact by other ants. Another indicator of deep sleep was rapid antennal movement (RAM sleep). Sleep episodes were polyphasic. Queens averaged similar to 92 sleep episodes per day, each episode lasting similar to 6 min, for a total of similar to 9.4 h of sleep per day. Workers averaged similar to 253 sleep episodes lasting 1.1 min each for a total of similar to 4.8 h of sleep per day. Activity episodes were unaffected by light/dark periods. Workers were hypervigilant with an average of 80% of the labor force completing grooming, feeding or excavation tasks at any given time. These findings reinforce the parental exploitation hypothesis-sterile workers are a caste of disposable, short-lived helpers whose vigilance and hyperactivty increases the queen's fitness by buffering her and her fertile offspring from environmental stresses."
"do Nascimento Lopes, Elfany Reis; Abreu Sales, Jomil Costa; de Sousa, Jocy Ana Paixao; Amorim, Amanda Trindade; Albuquerque Filho, Jose Luiz; Lourenco, Roberto Wagner",LOSSES ON THE ATLANTIC MATA VEGETATION INDUCED BY LAND USE CHANGES,CERNE,24,121,132,10.1590/01047760201824022512,2018,"Land use changes are related to urbanization, economics and technology, influencing the management of natural resources and the ecosystem processes. The present study evaluated the behavior of land use changes in the period of 2007 and 2016, and identified the influence of these changes on the Atlantic Forest vegetation and the expected consequences for a future scenario in the short (2020) and medium term (2025). The study was developed in the Una river basin, located in southeastern Brazil. Land use mapping was performed using Landsat 5 and Sentinel-2A satellite imagery, with visual interpretation techniques. The assessment of land use changes and ecological losses was modeled in the Land Change Modeler and the gains and losses for each category and their future scenarios were identified. The calculations of landscape metrics were performed with the V-LATE extension for ArcGIS. The Anthropogenic Exposure Indicator was applied to evaluate the exposure of fragments. The comparative between land uses showed an increase of 484.33 ha of anthropogenic areas and a decrease of 484.14 ha of vegetation. The greater conversion of forests to other uses was related to agriculture. The fragments are under intense edge effect and 13.70% are under high anthropogenic exposure. By 2016, a loss of 484 ha of Atlantic Forest was identified, being expected a loss of 694.11 ha by 2020 and of 934.10 ha by 2025."
"Rafay, Muhammad; Ahmad, Ghafoor; Ruby, Tahira; Abdullah, Muhammad; Rasheed, Fahad; Abid, Muhammad; Akhtar, Sohail; Ahmad, Zulfiqar; Hussain, Riaz","Breeding and Feeding Behaviour of Jungle Babbler (Turdiodes striata Dumont, 1923) in Agro-Ecological Zones of District Layyah, Pakistan",PAKISTAN JOURNAL OF ZOOLOGY,52,1701,1708,10.17582/journal.pjz/20170420070416,2020,"The study was undertaken to find out breeding activities and feeding behavior of jungle babbler Turdoides striata from February to September, 2014. The cup shaped nests were made of dry grass and roots by a group of individuals of jungle babbler on Albizzia species having an average clutch size of 4 eggs. Average peripheral and core diameter, depth of nest was 13, 9 and 7 cm, respectively. Breeding completed in 36 days including incubation, nestling, post nestling and fledgling stages of 13, 5, 4, and 14 days, respectively. Overall predation during these stages was 57%. Adults consumed grains, insects, termites and flies during morning and evening frequently while providing insects, flies and larvae to their young ones. Highly sensitive video camera was arranged to check their ecological behavior and breeding calls. Sentinel, breeding, roosting and bathing behaviours were studied along with vocalization. Statistical packages (mean values and standard deviation) were used to find out the potential results."
"Dutcher, James D.; Bactawar, Basil",Sampling and Control Trials for Tilehorned Prionus (Coleoptera: Cerambycidae) and Broadnecked Root Borer (Coleoptera: Cerambycidae) in Commercial Pecan Orchards,JOURNAL OF ENTOMOLOGICAL SCIENCE,51,199,208,10.18474/JES-16-08.1,2016,"Panel traps baited with prionic acid pheromone lures were effective in monitoring adult male Prionus imbricornis (L.) and Prionus laticolis (Drury) (Coleoptera: Cerambycidae) beetles in commercial pecan, Carya illinoensis (Wangenheim) K.Koch, orchards in southern Georgia and northern Florida. Pheromone lures with 30 mg of prionic acid trapped beetles for 6 to 7 weeks in the field. A soil surface application of chlorpyrifos solution at a concentration 1.25 ml/L and 0.6 L/m(2) had an efficacy of 92% against adult male beetles and persisted for 3 weeks. A matrix of lures made from 30-mg prionic acid treated Isomate CP plastic-coated wire at 250 lures/ha prevented pheromone-baited panel traps from attracting male P. imbricornis beetles. One deployment of the matrix of lures prevented sentinel traps from collecting beetles for the entire 6-week flight period. The addition of LED lights to the pheromone-baited panel trap significantly increased the number of P. imbricornis male beetles trapped per trap per night by 8%."
